method,median_abs,mean_abs,median_rel,mean_rel,pct_rel_pos
M0_base,0.0177,0.018,0.0067,0.0049,70.0
M1_poolridge,0.0177,0.018,0.0047,0.0044,73.3333
M2_blend,0.0177,0.0181,0.0037,0.0013,63.3333
M3_signcons,0.0177,0.018,0.0067,0.0045,70.0
M5_tight,0.0177,0.0181,0.0037,0.0013,63.3333
M8_poollgbm,0.0177,0.018,0.0018,0.0031,63.3333
