stk,n,abs_baseline_v2,rel_baseline_v2,abs_I1_roll120,rel_I1_roll120,abs_I1_roll80,rel_I1_roll80,abs_I2_vol_r0.10,rel_I2_vol_r0.10,abs_I2_vol_r0.20,rel_I2_vol_r0.20,abs_I3_lgbm,rel_I3_lgbm,abs_I4_clipy,rel_I4_clipy,abs_ALL_r120_v0.10,rel_ALL_r120_v0.10,abs_ALL_r120_v0.20,rel_ALL_r120_v0.20
s1,242,0.011011518985321357,0.0029779141241887963,0.011038939908417993,0.0004951262382584254,0.010947450390692452,0.008778912509715187,0.01104036097225728,0.00036645806494839395,0.010966020462134726,0.007097512206185819,0.011014487219412249,0.002709159654563531,0.011011518985321357,0.0029779141241887963,0.011101076701513078,-0.005130959966912707,0.01095364838973383,0.008217723636433583
s2,242,0.023113754558724622,0.008244749676596608,0.02296559535889222,0.014601902251881516,0.022870376032790164,0.018687533011438218,0.02407633281016148,-0.03305715271594556,0.02458458489773313,-0.05486501932871768,0.023307568893269355,-7.135419931492137e-05,0.023104360924013523,0.008647807800307494,0.02348313592739997,-0.007604510590690561,0.02423315658760112,-0.0397860813396429
s3,242,0.02202385442414334,-0.013437897343563154,0.022139885031020937,-0.018777099646527073,0.022256885538844036,-0.024160932392278678,0.022183422627979198,-0.020780502405510326,0.022202245635147333,-0.021646651828712393,0.021590742533018528,0.006491947623757821,0.02196317756895456,-0.010645823651297626,0.021693780598401685,0.0017506031561980162,0.021763600387826015,-0.001462186904273688
s4,242,0.017857192696924803,-0.01162193894500052,0.017885359585460045,-0.013217612065500317,0.017839017947822625,-0.01059232722278658,0.018198264480985812,-0.03094388418954308,0.017990417072624176,-0.019169189150960664,0.017652041745503957,0.0,0.017857192696924803,-0.01162193894500052,0.017979705896679354,-0.01856239385219305,0.017881444716051055,-0.01299583208868893
s5,242,0.020528804598129755,0.005381581392234436,0.020550019538969348,0.0043537197450610465,0.020409113266385143,0.011180613797254657,0.020663521225456668,-0.0011454249997633337,0.019628649921428556,0.04899398058300353,0.02040349082694115,0.011453020395591706,0.020589986605936115,0.0024173195638981237,0.020629618458536787,0.000497160483433845,0.019545076121018353,0.05304312240242581
s6,242,0.014900380325093488,0.007191061503085461,0.01498221212038839,0.0017386276692182845,0.015182801009273725,-0.011626564191901334,0.015392470877567427,-0.025596819637320634,0.01613708492366934,-0.07521028349336456,0.015026946356484404,-0.0012420042666094755,0.014957636736945414,0.003376079856132308,0.015585743950323852,-0.038474560340368,0.016486763543582823,-0.09850929008762699
s7,242,0.02054188738657353,-0.054071333113414166,0.02052921265957259,-0.053420951474409506,0.02055800090509344,-0.05489817037660227,0.02088159462913875,-0.0715028212381641,0.020615163117851994,-0.05783135020921604,0.019609984085160306,-0.00625233105348344,0.02053166699182962,-0.053546891278546616,0.02094348066370757,-0.0746783957962105,0.020934590161018944,-0.07422219506622452
s8,242,0.014432408896370173,0.0021671261386205787,0.014433198220787605,0.0021125535542717566,0.014568198818553538,-0.007221164427877902,0.016029912292814308,-0.10828161575352979,0.016422552773147334,-0.13542812897236978,0.014500552336178996,-0.002544198552044019,0.01443081015051412,0.0022776607821145545,0.01618842822339269,-0.11924114494214777,0.01647148891955691,-0.13881149317429786
s9,242,0.021545032537369717,-0.017022299428717247,0.02126703959132742,-0.003899783845669802,0.02148125818669266,-0.014011863651576917,0.021903200130703935,-0.03392941844660702,0.022226974813728977,-0.049213037631483436,0.02150241862842644,-0.015010731537790978,0.021539721330973413,-0.01677158663297007,0.021898378863985112,-0.03370183300406793,0.021997534319394718,-0.03838241582921187
s10,242,0.02039603677035591,-0.04336553448366742,0.020527961708157946,-0.05011419525494043,0.020680427877400546,-0.05791364903871132,0.02053744705679513,-0.05059942118201799,0.021204013387894235,-0.08469782687458105,0.019578439614487072,-0.0015411004953316265,0.02037385378680469,-0.04223075713697222,0.0206842553720935,-0.058109445707005936,0.02099141320754712,-0.07382219925649447
